preadjusted PWM,Distance,Time,Speed,,,Adjusted PWM,Speed
100,139,5,27.8,Rover veered off,,100,27.8
90,125,5,25,Rover veered off,,92.5,25
80,117,5,23.4,,,85,23.4
70,105,5,21,,,77.5,21
60,92.25,5,18.45,,,70,18.45
50,79.83333333,5,15.96666667,,,62.5,15.96666667
40,69,5,13.8,,,55,13.8
30,56,5,11.2,,,47.5,11.2
20,47.33333333,5,9.466666667,,,40,9.466666667
10,34.5,5,6.9,,,32.5,6.9
25,23.16666667,5,4.633333333,,,25,4.633333333
16,10.66666667,5,2.133333333,,,16,2.133333333
10,0,5,0,,,10,0
5,0,5,0,,,5,0
0,0,5,0,,,0,0
-100,-137.6666667,5,-27.53333333,,,-100,-27.53333333
-90,-122.3333333,5,-24.46666667,,,-90,-24.46666667
-80,-110.6666667,5,-22.13333333,,,-80,-22.13333333
-70,-93.33333333,5,-18.66666667,,,-70,-18.66666667
-60,-76.33333333,5,-15.26666667,,,-60,-15.26666667
-50,-60.5,5,-12.1,,,-50,-12.1
-40,-47.16666667,5,-9.433333333,,,-40,-9.433333333
-30,-32.33333333,5,-6.466666667,,,-30,-6.466666667
-20,-17.83333333,5,-3.566666667,,,-20,-3.566666667
-10,0,5,0,,,-10,0
