deltat,IMU1,IMU2
""
0.01,5.34,5.34
0.01,5.34,5.34
0.01,5.34,5.34
0.01,5.34,5.34
0.01,5.34,5.34
0.01,5.34,5.34
0.01,5.34,5.34
0.01,5.34,5.34
0.01,5.34,5.34
0.01,5.34,5.34
0.01,5.34,5.34
0.01,5.34,5.34
0.01,5.34,5.34
0.13,5.34,5.34
0.01,5.34,5.34
0.01,5.34,5.34
0.01,5.34,5.34
0.01,5.34,5.34
0.01,5.34,5.34
0.01,5.34,5.34
0.01,5.34,5.34
0.01,5.34,5.34
0.01,5.34,5.34
0.01,5.34,5.34
0.01,5.34,5.34
0.01,5.34,5.34
0.01,5.34,5.34
0.13,5.34,5.34
0.01,5.34,5.34
0.01,5.34,5.34
0.01,5.34,5.34
0.01,5.34,5.34
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.13,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.13,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.13,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.13,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.13,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.13,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.13,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.13,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.33,5.33
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.13,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.13,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.13,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.13,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.13,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.13,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.13,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.31,5.31
0.13,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.32,5.32
0.01,5.31,5.31
0.01,5.31,5.31
0.01,5.31,5.31
0.01,5.31,5.31
0.01,5.31,5.31
0.01,5.31,5.31
0.01,5.31,5.31
0.13,5.31,5.31
0.01,5.31,5.31
0.01,5.31,5.31
0.01,5.31,5.31
0.01,5.31,5.31
0.01,5.31,5.31
0.01,5.31,5.31
0.01,5.31,5.31
0.01,5.31,5.31
0.01,5.31,5.31
0.01,5.31,5.31
0.01,5.31,5.31
0.01,5.31,5.31
0.01,5.31,5.31
0.13,5.31,5.31
0.01,5.31,5.31
0.01,5.31,5.31
0.01,5.31,5.31
0.01,5.31,5.31
0.01,5.31,5.31
