t,x_center,y_center,x_offset,y_offset
0.000000E0,3.976116E-1,1.856045E-1,3.997326E-1,2.536038E-1
3.317208E-2,3.955627E-1,1.805204E-1,3.983968E-1,2.497167E-1
6.634415E-2,3.971343E-1,1.762671E-1,3.993403E-1,2.451008E-1
9.951623E-2,3.967098E-1,1.717332E-1,3.989714E-1,2.407381E-1
1.326883E-1,3.957000E-1,1.673569E-1,3.980702E-1,2.353792E-1
1.658604E-1,3.961527E-1,1.625482E-1,3.977678E-1,2.311225E-1
1.990325E-1,3.957614E-1,1.577634E-1,3.976973E-1,2.267437E-1
2.322045E-1,3.957102E-1,1.528663E-1,3.972664E-1,2.219253E-1
2.653766E-1,3.956280E-1,1.482281E-1,3.969281E-1,2.173971E-1
2.985487E-1,3.949203E-1,1.432823E-1,3.966948E-1,2.126144E-1
3.317208E-1,3.940457E-1,1.389339E-1,3.966321E-1,2.076819E-1
3.648928E-1,3.945813E-1,1.337037E-1,3.964282E-1,2.029489E-1
3.980649E-1,3.943411E-1,1.287109E-1,3.956895E-1,1.975860E-1
4.312370E-1,3.933081E-1,1.238706E-1,3.956193E-1,1.930389E-1
4.644091E-1,3.925523E-1,1.193575E-1,3.952406E-1,1.880011E-1
4.975811E-1,3.929832E-1,1.146639E-1,3.950025E-1,1.831360E-1
5.307532E-1,3.922594E-1,1.096325E-1,3.943824E-1,1.780681E-1
5.639253E-1,3.918663E-1,1.048285E-1,3.943713E-1,1.733554E-1
5.970974E-1,3.915321E-1,9.977805E-2,3.940704E-1,1.684685E-1
6.302694E-1,3.911087E-1,9.508457E-2,3.940396E-1,1.635290E-1
6.634415E-1,3.909194E-1,9.009280E-2,3.936417E-1,1.588793E-1
6.966136E-1,3.905106E-1,8.511842E-2,3.934347E-1,1.538940E-1
7.297857E-1,3.900835E-1,8.013078E-2,3.929842E-1,1.488306E-1
7.629577E-1,3.896596E-1,7.523642E-2,3.927309E-1,1.440781E-1
7.961298E-1,3.894822E-1,7.052933E-2,3.923304E-1,1.393715E-1
8.293019E-1,3.892394E-1,6.559594E-2,3.917701E-1,1.345507E-1
8.624740E-1,3.881850E-1,6.101495E-2,3.913126E-1,1.299531E-1
8.956460E-1,3.879011E-1,5.595899E-2,3.909063E-1,1.252378E-1
9.288181E-1,3.873834E-1,5.108080E-2,3.908426E-1,1.204769E-1
9.619902E-1,3.870771E-1,4.614849E-2,3.904519E-1,1.153642E-1
9.951623E-1,3.867719E-1,4.128166E-2,3.899333E-1,1.106433E-1
1.028334E0,3.864133E-1,3.634444E-2,3.895356E-1,1.057353E-1
1.061506E0,3.857860E-1,3.144548E-2,3.894764E-1,1.006628E-1
1.094679E0,3.854698E-1,2.655117E-2,3.887817E-1,9.604672E-2
1.127851E0,3.846631E-1,2.175624E-2,3.881590E-1,9.098556E-2
1.161023E0,3.844861E-1,1.701606E-2,3.880381E-1,8.622651E-2
1.194195E0,3.838867E-1,1.228026E-2,3.873239E-1,8.170253E-2
1.227367E0,3.836976E-1,7.872989E-3,3.871438E-1,7.748889E-2
1.260539E0,3.832063E-1,3.858070E-3,3.868838E-1,7.293443E-2
1.293711E0,3.829681E-1,-3.675837E-4,3.862362E-1,6.917180E-2
